id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,mse,mae,fit_duration,predict_duration,max_depth,df_setting,alpha
pmlb_560,bodyfat,252,14,0,0,1,CART - max_depth = 6,0.9864552954498123,0.6300735238832376,0.2999997820172986,0.001062154769897461,0.0002589225769042969,6.0,,
pmlb_560,bodyfat,252,14,0,0,1,CART - max_depth = 20,0.9866381229453851,0.621568741518181,0.19999885559082387,0.0010051727294921875,0.0002560615539550781,20.0,,
pmlb_560,bodyfat,252,14,0,0,1,CART - max_depth = None,0.9861028050774774,0.6464706959447597,0.19999885559082387,0.0009448528289794922,0.00023126602172851562,,,
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - df alpha = 0.01 - max_depth = 6,0.9705102791901372,1.3718049175716809,0.061330029086061444,0.019854068756103516,4.1961669921875e-05,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - df alpha = 0.01 - max_depth = 20,0.9705318339828183,1.370802230201806,0.05823656720655368,0.05472302436828613,0.00010395050048828125,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - df alpha = 0.01 - max_depth = None,0.9705318339828183,1.370802230201806,0.05823656720655368,0.054659128189086914,0.0001418590545654297,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - default df - max_depth = 6,0.9995041540719177,0.023065795939095614,0.062314810530548215,0.005727052688598633,1.4781951904296875e-05,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - default df - max_depth = 20,0.9995041540719177,0.023065795939095614,0.062314810530548215,0.005774021148681641,2.3126602172851562e-05,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - default df - max_depth = None,0.9995041540719177,0.023065795939095614,0.062314810530548215,0.005827188491821289,1.9788742065429688e-05,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - df alpha = 0.5 - max_depth = 6,0.9726240037134787,1.273478530753467,0.04535072897481385,0.017657995223999023,3.314018249511719e-05,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - df alpha = 0.5 - max_depth = 20,0.9725895415144736,1.2750816457632803,0.04776913940549221,0.043406009674072266,5.984306335449219e-05,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,1,CPILOT - df alpha = 0.5 - max_depth = None,0.9725895415144736,1.2750816457632803,0.04776913940549221,0.04440116882324219,5.888938903808594e-05,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,2,CART - max_depth = 6,0.9492959573326258,4.364333719046331,0.2499990463256836,0.00086212158203125,0.00022292137145996094,6.0,,
pmlb_560,bodyfat,252,14,0,0,2,CART - max_depth = 20,0.948599124061081,4.424313412648024,0.19999980926513672,0.0008628368377685547,0.00021195411682128906,20.0,,
pmlb_560,bodyfat,252,14,0,0,2,CART - max_depth = None,0.9466810445031567,4.589411476827611,0.20000076293945312,0.0008451938629150391,0.00021195411682128906,,,
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.01 - max_depth = 6,0.9647007334421924,3.0383727054366347,0.047471614592311084,0.01981520652770996,5.0067901611328125e-05,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.01 - max_depth = 20,0.9646950812182196,3.0388592187475005,0.05788339801539166,0.05925703048706055,0.00013113021850585938,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.01 - max_depth = None,0.9646950812182196,3.0388592187475005,0.05788339801539166,0.05932211875915527,0.00014591217041015625,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - default df - max_depth = 6,0.9707065468095859,2.52142430426939,0.06647785908108794,0.005586147308349609,1.0013580322265625e-05,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - default df - max_depth = 20,0.9707065468095859,2.52142430426939,0.06647785908108794,0.005919933319091797,2.002716064453125e-05,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - default df - max_depth = None,0.9707065468095859,2.52142430426939,0.06647785908108794,0.00605010986328125,2.8848648071289062e-05,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.5 - max_depth = 6,0.9659285750025479,2.932686648830458,0.04013190876694672,0.017177104949951172,5.984306335449219e-05,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.5 - max_depth = 20,0.9659255651571672,2.932945720277099,0.03975359039218773,0.021564960479736328,5.984306335449219e-05,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.5 - max_depth = None,0.9659255651571672,2.932945720277099,0.03975359039218773,0.021156787872314453,3.0040740966796875e-05,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,3,CART - max_depth = 6,0.8993291175038072,5.683499949106755,0.16904734429858914,0.0009472370147705078,0.00024390220642089844,6.0,,
pmlb_560,bodyfat,252,14,0,0,3,CART - max_depth = 20,0.8998233078245321,5.655599819565371,0.1499996185302752,0.0009462833404541016,0.00024175643920898438,20.0,,
pmlb_560,bodyfat,252,14,0,0,3,CART - max_depth = None,0.9245716776411825,4.25839980397271,0.1999988555908221,0.0009799003601074219,0.0002498626708984375,,,
