iter,noise,n_samples,model,r2
0,5,10,CPF,-0.1026203245056303
0,5,10,RF,-0.13696792937563607
0,5,10,LR,-1.1844437704511854
0,5,10,XGB,-0.3544938551596861
0,5,210,CPF,0.04659415528141719
0,5,210,RF,0.050944116281543494
0,5,210,LR,0.03278543638204112
0,5,210,XGB,-0.09166204583234094
0,5,410,CPF,0.06655984598722764
0,5,410,RF,0.04224805990563052
0,5,410,LR,0.08930895695318297
0,5,410,XGB,-0.06620651474995065
0,5,610,CPF,0.043441824010139074
0,5,610,RF,0.010541483571063215
0,5,610,LR,0.08650248321957799
0,5,610,XGB,-0.10020924184588043
0,5,810,CPF,0.07237302488840769
0,5,810,RF,0.04226311440313768
0,5,810,LR,0.11170588841421569
0,5,810,XGB,-0.08533452490261118
0,5,1010,CPF,0.09183443452580375
0,5,1010,RF,0.05967903648667472
0,5,1010,LR,0.11320976101237956
0,5,1010,XGB,-0.06680981912163442
0,5,1210,CPF,0.10318458316363022
0,5,1210,RF,0.07051992060082313
0,5,1210,LR,0.11750791243740943
0,5,1210,XGB,-0.07903856124797026
0,5,1410,CPF,0.11386768901103572
0,5,1410,RF,0.08280423093163025
0,5,1410,LR,0.120564001094422
0,5,1410,XGB,-0.04716360997350422
0,5,1610,CPF,0.11281513336887838
0,5,1610,RF,0.086109190659726
0,5,1610,LR,0.12100449964118265
0,5,1610,XGB,-0.06897813238448758
0,5,1810,CPF,0.12561943884885352
0,5,1810,RF,0.08768868417610898
0,5,1810,LR,0.12063838382852421
0,5,1810,XGB,-0.03385175464180579
0,5,2010,CPF,0.12123140440479341
0,5,2010,RF,0.09892290166346007
0,5,2010,LR,0.12480485913574957
0,5,2010,XGB,-0.02267186703854307
0,5,2210,CPF,0.12292861034935132
0,5,2210,RF,0.09860955088352008
0,5,2210,LR,0.12583511918216572
0,5,2210,XGB,-0.040668094546354894
0,5,2410,CPF,0.12049950367133566
0,5,2410,RF,0.09876172407052497
0,5,2410,LR,0.127186790262935
0,5,2410,XGB,-0.027227661368690592
0,5,2610,CPF,0.11694462612714196
0,5,2610,RF,0.09299981447573913
0,5,2610,LR,0.12549171401666592
0,5,2610,XGB,-0.0929909534721105
0,5,2810,CPF,0.11408053223941228
0,5,2810,RF,0.08902933543724278
0,5,2810,LR,0.12556235847403463
0,5,2810,XGB,-0.049858489297350594
0,5,3010,CPF,0.12449138049881014
0,5,3010,RF,0.09405214048658217
0,5,3010,LR,0.12820530126655383
0,5,3010,XGB,-0.051387236409359494
0,5,3210,CPF,0.12218608352771154
0,5,3210,RF,0.09522144752042783
0,5,3210,LR,0.12797670441833497
0,5,3210,XGB,-0.03638674719721102
0,5,3410,CPF,0.12164310214293539
0,5,3410,RF,0.09800896167043183
0,5,3410,LR,0.12769273910788725
0,5,3410,XGB,-0.06582675819456218
0,5,3610,CPF,0.1210473090909906
0,5,3610,RF,0.08702577582699367
0,5,3610,LR,0.1270770454920318
0,5,3610,XGB,-0.07022550120888438
0,5,3810,CPF,0.11964814220378484
0,5,3810,RF,0.08877996829227952
0,5,3810,LR,0.1282258226799179
0,5,3810,XGB,-0.05923462148481229
0,5,4010,CPF,0.11788367245613873
0,5,4010,RF,0.08916858515518855
0,5,4010,LR,0.12786937649607721
0,5,4010,XGB,-0.048466796414101676
0,5,4210,CPF,0.11754496381715795
0,5,4210,RF,0.09102044907325413
0,5,4210,LR,0.12792788064179794
0,5,4210,XGB,-0.06861707941503759
0,5,4410,CPF,0.11832103877197553
0,5,4410,RF,0.09876040946787434
0,5,4410,LR,0.1285946254846534
0,5,4410,XGB,-0.04226094689296467
0,5,4610,CPF,0.11966776482636043
0,5,4610,RF,0.09811233901265182
0,5,4610,LR,0.12954612820294642
0,5,4610,XGB,-0.07185193970191861
0,5,4810,CPF,0.12065788801984978
0,5,4810,RF,0.10035483692769953
0,5,4810,LR,0.129205193564084
0,5,4810,XGB,-0.06126029381256104
0,5,5010,CPF,0.12033921395274327
0,5,5010,RF,0.09302088509799877
0,5,5010,LR,0.1285208515893358
0,5,5010,XGB,-0.032684217910166735
0,5,5210,CPF,0.12232500044882466
0,5,5210,RF,0.09369212661165605
0,5,5210,LR,0.1287348817693419
0,5,5210,XGB,-0.019758060411714906
0,5,5410,CPF,0.12208164973194047
0,5,5410,RF,0.09816619501880508
0,5,5410,LR,0.12880557339024268
0,5,5410,XGB,-0.0344406146363152
0,5,5610,CPF,0.12323557174802169
0,5,5610,RF,0.09821064728049533
0,5,5610,LR,0.12824739897099435
0,5,5610,XGB,-0.037107118102460035
0,5,5810,CPF,0.12266988813810942
0,5,5810,RF,0.09586643803145167
0,5,5810,LR,0.12808941439917365
0,5,5810,XGB,-0.036251845563132434
0,5,6010,CPF,0.12189406810344028
0,5,6010,RF,0.09809150060183247
0,5,6010,LR,0.12824316757574794
0,5,6010,XGB,-0.039790477089120646
1,5,10,CPF,-0.13794992578937548
1,5,10,RF,-0.22509626017443707
1,5,10,LR,-0.40036302962174863
1,5,10,XGB,-0.44719410232904844
1,5,210,CPF,0.07108706067314774
1,5,210,RF,0.05541437496411539
1,5,210,LR,0.0858971358155245
1,5,210,XGB,-0.10329118326592535
1,5,410,CPF,0.08997585049498291
1,5,410,RF,0.0892624946482774
1,5,410,LR,0.12206389404354956
1,5,410,XGB,-0.0766289082824756
1,5,610,CPF,0.10160964201324874
1,5,610,RF,0.105068947108091
1,5,610,LR,0.14323482486727912
1,5,610,XGB,-0.020690933811174927
1,5,810,CPF,0.11529426283404032
1,5,810,RF,0.09287158993663258
1,5,810,LR,0.140638837936372
1,5,810,XGB,-0.041856317394554754
1,5,1010,CPF,0.13645399190274898
1,5,1010,RF,0.10474724035534566
1,5,1010,LR,0.15619364907310906
1,5,1010,XGB,0.0012497309959775826
1,5,1210,CPF,0.1449570907866664
1,5,1210,RF,0.10752389655318417
1,5,1210,LR,0.16576285825173143
1,5,1210,XGB,0.015550230796525621
1,5,1410,CPF,0.13828913999286074
1,5,1410,RF,0.11489761321259484
1,5,1410,LR,0.16450485554034844
1,5,1410,XGB,-0.024854548844223556
1,5,1610,CPF,0.15415733421231903
1,5,1610,RF,0.13225586243913956
1,5,1610,LR,0.16503753820174527
1,5,1610,XGB,-0.054706649658567974
1,5,1810,CPF,0.15415322776103735
1,5,1810,RF,0.12496710102938491
1,5,1810,LR,0.16904924665986554
